article_id,language,model,entity_text,entity_label,start_char,end_char,word_count
1,en,spaCy_xx_ent_wiki_sm,IPCC,MISC,4,8,66
1,en,spaCy_xx_ent_wiki_sm,Sixth Assessment Report,MISC,22,45,66
1,en,spaCy_xx_ent_wiki_sm,Celsius,PER,119,126,66
1,en,spaCy_xx_ent_wiki_sm,Antonio Guterres,PER,283,299,66
1,en,spaCy_xx_ent_wiki_sm,COP,ORG,428,431,66
2,en,spaCy_xx_ent_wiki_sm,COP28,LOC,3,8,64
2,en,spaCy_xx_ent_wiki_sm,Dubai,LOC,12,17,64
2,en,spaCy_xx_ent_wiki_sm,United Arab Emirates,ORG,103,123,64
3,en,spaCy_xx_ent_wiki_sm,World Bank,ORG,4,14,58
3,en,spaCy_xx_ent_wiki_sm,Sub-Saharan Africa,ORG,111,129,58
3,en,spaCy_xx_ent_wiki_sm,South Asia,LOC,134,144,58
3,en,spaCy_xx_ent_wiki_sm,World Bank,ORG,276,286,58
3,en,spaCy_xx_ent_wiki_sm,Ajay Banga,PER,297,307,58
4,en,spaCy_xx_ent_wiki_sm,Jordan,PER,0,6,51
4,en,spaCy_xx_ent_wiki_sm,National Climate Change Policy,ORG,9,39,51
4,en,spaCy_xx_ent_wiki_sm,Ministry of Environment,ORG,270,293,51
4,en,spaCy_xx_ent_wiki_sm,UNDP,ORG,339,343,51
4,en,spaCy_xx_ent_wiki_sm,European Union,ORG,352,366,51
5,en,spaCy_xx_ent_wiki_sm,UNFCCC,ORG,0,6,56
5,en,spaCy_xx_ent_wiki_sm,Simon Stiell,PER,27,39,56
5,en,spaCy_xx_ent_wiki_sm,Bonn Climate Change Conference,ORG,67,97,56
5,en,spaCy_xx_ent_wiki_sm,Paris Agreement,ORG,191,206,56
5,en,spaCy_xx_ent_wiki_sm,NDCs,MISC,269,273,56
6,en,spaCy_xx_ent_wiki_sm,European Union,ORG,4,18,60
6,en,spaCy_xx_ent_wiki_sm,Carbon Border Adjustment Mechanism,MISC,21,55,60
6,en,spaCy_xx_ent_wiki_sm,EU,ORG,275,277,60
7,en,spaCy_xx_ent_wiki_sm,United Nations General Assembly,ORG,23,54,59
7,en,spaCy_xx_ent_wiki_sm,Climate Ambition Summit,MISC,66,89,59
7,en,spaCy_xx_ent_wiki_sm,New York,LOC,93,101,59
7,en,spaCy_xx_ent_wiki_sm,Paris Agreement,ORG,362,377,59
8,en,spaCy_xx_ent_wiki_sm,FAO,ORG,0,3,62
8,en,spaCy_xx_ent_wiki_sm,State of Food and Agriculture,ORG,18,47,62
8,en,spaCy_xx_ent_wiki_sm,FAO,ORG,296,299,62
8,en,spaCy_xx_ent_wiki_sm,Qu Dongyu,PER,317,326,62
9,en,spaCy_xx_ent_wiki_sm,Green Climate Fund,ORG,4,22,61
9,en,spaCy_xx_ent_wiki_sm,Songdo,LOC,109,115,61
9,en,spaCy_xx_ent_wiki_sm,South Korea,LOC,117,128,61
9,en,spaCy_xx_ent_wiki_sm,Bangladesh,LOC,201,211,61
9,en,spaCy_xx_ent_wiki_sm,Congo Basin,LOC,259,270,61
9,en,spaCy_xx_ent_wiki_sm,Jordan,LOC,316,322,61
10,en,spaCy_xx_ent_wiki_sm,China's,MISC,0,7,59
10,en,spaCy_xx_ent_wiki_sm,Xie Zhenhua,PER,41,52,59
10,en,spaCy_xx_ent_wiki_sm,US Climate Envoy,ORG,62,78,59
10,en,spaCy_xx_ent_wiki_sm,John Kerry,PER,79,89,59
10,en,spaCy_xx_ent_wiki_sm,Sunnylands,LOC,93,103,59
10,en,spaCy_xx_ent_wiki_sm,California,LOC,105,115,59
10,en,spaCy_xx_ent_wiki_sm,Paris Agreement,ORG,225,240,59
10,en,spaCy_xx_ent_wiki_sm,COP28,MISC,395,400,59
11,en,spaCy_xx_ent_wiki_sm,NASA,ORG,15,19,60
11,en,spaCy_xx_ent_wiki_sm,Goddard Institute for Space Studies,ORG,22,57,60
11,en,spaCy_xx_ent_wiki_sm,Celsius,PER,156,163,60
11,en,spaCy_xx_ent_wiki_sm,El Nino,LOC,198,205,60
11,en,spaCy_xx_ent_wiki_sm,Southern Europe,LOC,311,326,60
11,en,spaCy_xx_ent_wiki_sm,North Africa,LOC,328,340,60
11,en,spaCy_xx_ent_wiki_sm,Middle East,LOC,350,361,60
12,en,spaCy_xx_ent_wiki_sm,Science,MISC,21,28,64
12,en,spaCy_xx_ent_wiki_sm,Greenland Ice Sheet,ORG,60,79,64
12,en,spaCy_xx_ent_wiki_sm,GRACE,MISC,213,218,64
12,en,spaCy_xx_ent_wiki_sm,GRACE-FO,MISC,223,231,64
13,en,spaCy_xx_ent_wiki_sm,Arctic,LOC,4,10,66
13,en,spaCy_xx_ent_wiki_sm,National Snow and,ORG,103,120,66
13,en,spaCy_xx_ent_wiki_sm,Boulder,LOC,140,147,66
13,en,spaCy_xx_ent_wiki_sm,Colorado,LOC,149,157,66
13,en,spaCy_xx_ent_wiki_sm,Arctic,LOC,194,200,66
14,en,spaCy_xx_ent_wiki_sm,Great Barrier Reef Foundation,LOC,25,54,62
14,en,spaCy_xx_ent_wiki_sm,Celsius,PER,176,183,62
14,en,spaCy_xx_ent_wiki_sm,surveyed,LOC,266,274,62
15,en,spaCy_xx_ent_wiki_sm,Max Planck Institute for Meteorology,ORG,16,52,65
15,en,spaCy_xx_ent_wiki_sm,Nature Geoscience,MISC,75,92,65
15,en,spaCy_xx_ent_wiki_sm,Atlantic Meridional Overturning Circulation,ORG,110,153,65
15,en,spaCy_xx_ent_wiki_sm,AMOC,ORG,204,208,65
15,en,spaCy_xx_ent_wiki_sm,North Atlantic,LOC,255,269,65
15,en,spaCy_xx_ent_wiki_sm,Northern Europe,LOC,326,341,65
15,en,spaCy_xx_ent_wiki_sm,US East Coast,ORG,412,425,65
16,en,spaCy_xx_ent_wiki_sm,CO2,MISC,12,15,56
16,en,spaCy_xx_ent_wiki_sm,Mauna Loa Observatory,LOC,38,59,56
16,en,spaCy_xx_ent_wiki_sm,Hawaii,LOC,63,69,56
16,en,spaCy_xx_ent_wiki_sm,NOAA,ORG,128,132,56
17,en,spaCy_xx_ent_wiki_sm,University of Leeds,ORG,21,40,66
17,en,spaCy_xx_ent_wiki_sm,Geophysical Research Letters,ORG,220,248,66
17,en,spaCy_xx_ent_wiki_sm,Himalayan,PER,301,310,66
18,en,spaCy_xx_ent_wiki_sm,World Meteorological Organization,ORG,4,37,60
18,en,spaCy_xx_ent_wiki_sm,WMO,ORG,317,320,60
18,en,spaCy_xx_ent_wiki_sm,Celeste Saulo,PER,339,352,60
19,en,spaCy_xx_ent_wiki_sm,Proceedings of the National Academy of Sciences,MISC,15,62,66
19,en,spaCy_xx_ent_wiki_sm,Siberia,LOC,93,100,66
19,en,spaCy_xx_ent_wiki_sm,Alaska,LOC,105,111,66
19,en,spaCy_xx_ent_wiki_sm,CO2,MISC,157,160,66
20,en,spaCy_xx_ent_wiki_sm,Potsdam Institute for Climate Impact Research,ORG,18,63,60
20,en,spaCy_xx_ent_wiki_sm,Greenland Ice Sheet,ORG,217,236,60
20,en,spaCy_xx_ent_wiki_sm,West Antarctic Ice Sheet,ORG,242,266,60
20,en,spaCy_xx_ent_wiki_sm,Atlantic Meridional Overturning Circulation,ORG,321,364,60
20,en,spaCy_xx_ent_wiki_sm,Science,MISC,393,400,60
79,ar,spaCy_xx_ent_wiki_sm,وأكد التقرير,PER,159,171,56
80,ar,spaCy_xx_ent_wiki_sm,وقّع الأردن,MISC,0,11,53
80,ar,spaCy_xx_ent_wiki_sm,وأكد وزير,PER,252,261,53
83,ar,spaCy_xx_ent_wiki_sm,ويرتبط,PER,146,152,41
84,ar,spaCy_xx_ent_wiki_sm,وتهدف,MISC,159,164,44
84,ar,spaCy_xx_ent_wiki_sm,دول,ORG,260,263,44
85,ar,spaCy_xx_ent_wiki_sm,يُدار,MISC,223,228,46
86,ar,spaCy_xx_ent_wiki_sm,وساهمت,PER,187,193,51
87,ar,spaCy_xx_ent_wiki_sm,نُشرت,MISC,11,16,45
88,ar,spaCy_xx_ent_wiki_sm,ويمثل,LOC,125,130,46
89,ar,spaCy_xx_ent_wiki_sm,وثّق,ORG,0,4,39
89,ar,spaCy_xx_ent_wiki_sm,وتجاوزت درجات,PER,110,123,39
92,ar,spaCy_xx_ent_wiki_sm,ودُفعت,MISC,125,131,44
93,ar,spaCy_xx_ent_wiki_sm,قدّر,LOC,0,4,45
95,ar,spaCy_xx_ent_wiki_sm,وأفادت دائرة,PER,132,144,51
96,ar,spaCy_xx_ent_wiki_sm,متر مكعب,PER,166,174,47
96,ar,spaCy_xx_ent_wiki_sm,ويهدد الجمع,PER,176,187,47
97,ar,spaCy_xx_ent_wiki_sm,وقُدرت,MISC,144,150,43
98,ar,spaCy_xx_ent_wiki_sm,حذّر,MISC,0,4,46
98,ar,spaCy_xx_ent_wiki_sm,قد خفض,PER,74,80,46
1,en,HF_xlm_roberta_wikiann,Antonio Guterres,PER,283,299,66
1,en,HF_xlm_roberta_wikiann,COP,ORG,428,431,66
2,en,HF_xlm_roberta_wikiann,COP,ORG,3,6,64
2,en,HF_xlm_roberta_wikiann,Dubai,LOC,12,17,64
